,precision,recall,f1-score,support,model
Pepper__bell___Bacterial_spot,0.893312101910828,0.9655765920826161,0.9280397022332506,581.0,CNN
Pepper__bell___healthy,0.9959239130434783,0.8444700460829493,0.9139650872817955,868.0,CNN
Potato___Early_blight,0.9819078947368421,0.9900497512437811,0.985962014863749,603.0,CNN
Potato___Late_blight,0.9542372881355933,0.9478114478114478,0.9510135135135135,594.0,CNN
Potato___healthy,0.5928571428571429,0.9540229885057471,0.7312775330396476,87.0,CNN
Tomato_Bacterial_spot,0.7553256238587949,0.9833597464342314,0.8543889845094664,1262.0,CNN
Tomato_Early_blight,0.891156462585034,0.903448275862069,0.8972602739726028,580.0,CNN
Tomato_Late_blight,0.9277310924369748,0.9667250437828371,0.9468267581475128,1142.0,CNN
Tomato_Leaf_Mold,0.9766081871345029,0.9043321299638989,0.9390815370196813,554.0,CNN
Tomato_Septoria_leaf_spot,0.9824561403508771,0.8657004830917875,0.9203903441191577,1035.0,CNN
Tomato_Spider_mites_Two_spotted_spider_mite,0.9,0.9254032258064516,0.9125248508946322,992.0,CNN
Tomato__Target_Spot,0.8783185840707964,0.9754299754299754,0.9243306169965075,814.0,CNN
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9852150537634409,0.7727991565629942,0.8661742983751847,1897.0,CNN
Tomato__Tomato_mosaic_virus,0.9313304721030042,0.9819004524886877,0.9559471365638766,221.0,CNN
Tomato_healthy,0.9607032057911065,0.9989247311827957,0.9794412229836584,930.0,CNN
accuracy,0.9150493421052631,0.9150493421052631,0.9150493421052631,0.9150493421052631,CNN
macro avg,0.9071388775185613,0.9319969364221514,0.9137749249676157,12160.0,CNN
weighted avg,0.9257720561752092,0.9150493421052631,0.9153996131455558,12160.0,CNN
Pepper__bell___Bacterial_spot,0.8576329331046312,0.8605851979345955,0.8591065292096219,581.0,ViT
Pepper__bell___healthy,0.958273381294964,0.7672811059907834,0.8522072936660269,868.0,ViT
Potato___Early_blight,0.9375,0.9203980099502488,0.9288702928870293,603.0,ViT
Potato___Late_blight,0.8467289719626169,0.7626262626262627,0.8024800708591674,594.0,ViT
Potato___healthy,0.5526315789473685,0.7241379310344828,0.6268656716417911,87.0,ViT
Tomato_Bacterial_spot,0.9057798891528107,0.9064976228209192,0.9061386138613862,1262.0,ViT
Tomato_Early_blight,0.855072463768116,0.6103448275862069,0.7122736418511066,580.0,ViT
Tomato_Late_blight,0.8361638361638362,0.7329246935201401,0.7811479234717685,1142.0,ViT
Tomato_Leaf_Mold,0.620933521923621,0.7924187725631769,0.6962727993655828,554.0,ViT
Tomato_Septoria_leaf_spot,0.5768335273573924,0.957487922705314,0.7199418815837269,1035.0,ViT
Tomato_Spider_mites_Two_spotted_spider_mite,0.8121212121212121,0.8104838709677419,0.8113017154389506,992.0,ViT
Tomato__Target_Spot,0.766531713900135,0.6977886977886978,0.7305466237942122,814.0,ViT
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9394418114797262,0.9404322614654718,0.9399367755532139,1897.0,ViT
Tomato__Tomato_mosaic_virus,0.9375,0.5429864253393665,0.6876790830945558,221.0,ViT
Tomato_healthy,0.9730769230769231,0.8161290322580645,0.887719298245614,930.0,ViT
accuracy,0.8254111842105263,0.8254111842105263,0.8254111842105263,0.8254111842105263,ViT
macro avg,0.8250814509502234,0.7895015089700981,0.7961658809682503,12160.0,ViT
weighted avg,0.8474688256698693,0.8254111842105263,0.82811512975385,12160.0,ViT
